ツイートID,ツイート本文,リツイ,リプライ,いいね,引用,インプ
1640233427210498050,"現役事務員として言わせてもらうと、これは閲覧履歴に残しておく用ですね

閲覧履歴に残しておく、またはお気に入りに登録しておくことで、それらを見る権限がある人に対して効果を期待するためのものです https://t.co/dRW6OWPSPA",3,0,4,0,81
1640230178340339712,@30karano ＝キルア大好き,0,0,0,0,27
1640211880450084864,RT @act31hiroki: いや、バレるてwww,1,0,0,0,0
1640203950325477376,"RT @Bug1978: 以前、作成したEXCELのテーブル（ListObject）を数式お残して初期化する関数です。

ClearTable(Sheet1, ""テーブル1"")

使い方はこんな感じに、テーブルのあるワークシートと、テーブル名をパラメータにしてコールしてください…",1,0,0,0,0
1640202684379828224,"RT @UuGESZJ40BfKVSP: 私は
・セルB2に数式を入れる
・B2をコピーしてB3〜B11までコピペする
って構造にしてた…(°▽°;)",1,0,0,0,0
1640198218838581248,@sugoi_kaizen 吉田先生のセミナーを受けてもらっていれば…ッ,0,0,0,0,344
1640198063385108481,"@aero_iki さすがのご指摘です！！
良い記事は本当に、変えた設定を戻すとか細かいのですよね～",0,1,3,0,179
1640198037632077824,RT @sugoi_kaizen: なので「初期化が大事」「一旦既存データは消す」のが大事とうちのVBAセミナーでは何度も繰り返します。,2,0,0,0,0
1640197850373160961,"RT @aero_iki: 配列を一括でシート上に出力する処理とかが最たる例かな。
「配列を一括でシート上に出力する」のタイトルで書かれた記事がいくらかあるけど、初期化について言及されていない記事は実務を知らないニワカなので注意。",5,0,0,0,0
1640197736971763713,RT @Pythonist19: 「このプロンプト、表現変えてみたら」に変わるだけじゃ,4,0,0,0,0
